epoch,loss,rmse_train,rmse_val
1,3.9707812362621555e-08,0.00019924341177102178,0.00023245906049851328
2,3.9693838544963e-08,0.00019920880731660873,0.00023242231691256166
3,3.96801439705996e-08,0.0001991748868022114,0.00023238599533215165
4,3.966660926835175e-08,0.0001991408789763227,0.00023235054686665535
5,3.965316281551168e-08,0.00019910745322704315,0.00023231582599692047
6,3.96398736768333e-08,0.0001990743912756443,0.000232281832722947
7,3.9626769421374775e-08,0.00019904189684893936,0.0002322485379409045
8,3.961388770790108e-08,0.0001990095479413867,0.0002322157088201493
9,3.960105715350437e-08,0.00019897766469512135,0.00023218382557388395
10,3.958840750328818e-08,0.0001989458396565169,0.00023215274268295616
11,3.9575858465923374e-08,0.00019891455303877592,0.00023212215455714613
12,3.956349090117328e-08,0.0001988838193938136,0.0002320923376828432
13,3.9551282213778905e-08,0.00019885350775439292,0.00023206337937153876
14,3.9539238088082126e-08,0.0001988234871532768,0.0002320347266504541
15,3.9527346302747904e-08,0.00019879346655216068,0.00023200684518087655
16,3.951551150294108e-08,0.0001987640862353146,0.00023197969130706042
17,3.9503801900764304e-08,0.00019873508426826447,0.00023195327958092093
18,3.949231086153304e-08,0.00019870625692419708,0.00023192747903522104
19,3.948092412997539e-08,0.00019867793889716268,0.0002319023769814521
20,3.946964028500588e-08,0.00019864982459694147,0.00023187747865449637
21,3.945859177179045e-08,0.00019862207409460098,0.00023185345344245434
22,3.94476016651879e-08,0.00019859483290929347,0.0002318298938916996
23,3.9436794594394086e-08,0.0001985678682103753,0.00023180733842309564
24,3.9426116416052534e-08,0.0001985412382055074,0.00023178475385066122
25,3.941557849884702e-08,0.00019851489923894405,0.00023176337708719075
26,3.9405158673844195e-08,0.00019848885131068528,0.00023174178204499185
27,3.9394889910226996e-08,0.0001984631089726463,0.00023172053624875844
28,3.938475586551249e-08,0.00019843783229589462,0.00023170039639808238
29,3.937475213433572e-08,0.00019841281755361706,0.00023168057668954134
30,3.9364830257682114e-08,0.0001983880647458136,0.0002316609607078135
31,3.935499435669953e-08,0.0001983633846975863,0.00023164185404311866
32,3.934529459570513e-08,0.00019833898113574833,0.0002316227473784238
33,3.933567370495439e-08,0.0001983150141313672,0.00023160423734225333
34,3.932612145263192e-08,0.00019829117809422314,0.00023158593103289604
35,3.9316790605425924e-08,0.00019826764764729887,0.00023156791576184332
36,3.930742451530023e-08,0.00019824455375783145,0.00023155013332143426
37,3.929826192461405e-08,0.00019822160538751632,0.00023153303482104093
38,3.928924598994854e-08,0.00019819862791337073,0.00023151618370320648
39,3.928016511167698e-08,0.0001981760433409363,0.00023149950720835477
40,3.927125021618849e-08,0.00019815370615106076,0.00023148293257690966
41,3.926241191720692e-08,0.000198131674551405,0.00023146664898376912
42,3.9253734769317817e-08,0.00019811007950920612,0.00023145075829233974
